"Academic Institutions (Category of AI wise) As on July 31, 2020",,,
AI Code,AI Name,State,Type/Category of Academic Institution (AI)
11153,Ch. Charan Singh National Institute of Agricultural Marketing,Rajasthan,Other institutions -PGDM Institutes
11156,Institute of Rural Management,Rajasthan,Other institutions -PGDM Institutes
30127,Jagan Institute of Management Studies,Rajasthan,Other institutions -PGDM Institutes
12069,"Taxila Business School, Mansarovar",Rajasthan,Other institutions -PGDM Institutes
30100,"Vyas Institute of Management, Jodhpur",Rajasthan,Other institutions -PGDM Institutes
11169,Great Lakes Institute of Management,Tamil Nadu,Other institutions -PGDM Institutes
11179,Loyola Institute of Business Administration,Tamil Nadu,Other institutions -PGDM Institutes
30144,Madras School Of Economics,Tamil Nadu,Other institutions -PGDM Institutes
30054,Thiagarajar School Of Management,Tamil Nadu,Other institutions -PGDM Institutes
30134,Xavier Institute of Management & Entrepreneurship,Tamil Nadu,Other institutions -PGDM Institutes
12003,Administrative Staff College of India,Telangana,Other institutions -PGDM Institutes
30051,Carlton Business School,Telangana,Other institutions -PGDM Institutes
